Dep,Nom Ville,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année,Nombre d habitants,Nom Département
nan,VILLEFRANCHE SUR MER,13,4.0,0,0,06,06VILLEFRANCHE SUR MER,6159,2016,0.0,0
nan,VILLENEUVE LOUBET,29,3.0,0,0,06,06VILLENEUVE LOUBET,6161,2016,0.0,0
Ardèche (07),ANNONAY,5,3.0,1,0,07,07ANNONAY,7010,2016,0.0,0
Privas,AUBENAS,4,4.0,0,0,07,07AUBENAS,7019,2016,0.0,0
nan,BEAUCHASTEL,1,0.0,0,0,07,07BEAUCHASTEL,7027,2016,0.0,0
nan,BOULIEU LES ANNONAY,1,0.0,0,0,07,07BOULIEU LES ANNONAY,7041,2016,0.0,0
nan,BOURG SAINT ANDEOL,4,0.0,0,0,07,07BOURG SAINT ANDEOL,7042,2016,0.0,0
nan,CHARMES SUR RHONE,1,0.0,0,0,07,07CHARMES SUR RHONE,7055,2016,0.0,0
nan,DAVEZIEUX,1,0.0,0,0,07,07DAVEZIEUX,7078,2016,0.0,0
nan,GUILHERAND GRANGES,6,0.0,0,0,07,07GUILHERAND GRANGES,7102,2016,0.0,0
nan,JOYEUSE,1,1.0,0,0,07,07JOYEUSE,7110,2016,0.0,0
nan,CHEYLARD,1,0.0,0,0,07,07CHEYLARD,7064,2016,0.0,0
nan,POUZIN,1,1.0,0,0,07,07POUZIN,7181,2016,0.0,0
nan,TEIL,1,2.0,0,0,07,07TEIL,7319,2016,0.0,0
nan,PRIVAS,3,2.0,0,0,07,07PRIVAS,7186,2016,0.0,0
nan,RUOMS,1,4.0,0,0,07,07RUOMS,7201,2016,0.0,0
nan,SAINT PERAY,3,0.0,0,0,07,07SAINT PERAY,7281,2016,0.0,0
nan,TOURNON SUR RHONE,5,0.0,0,0,07,07TOURNON SUR RHONE,7324,2016,0.0,0
nan,VALLON PONT D ARC,1,1.0,0,0,07,07VALLON PONT D ARC,7330,2016,0.0,0
Charleville Meziéres,CARIGNAN,2,0.0,0,0,08,08CARIGNAN,8090,2016,0.0,0
nan,CHARLEVILLE MEZIERES,24,6.0,0,0,08,08CHARLEVILLE MEZIERES,8105,2016,0.0,0
nan,CHOOZ,1,0.0,0,0,08,08CHOOZ,8122,2016,0.0,0
nan,DONCHERY,1,0.0,0,0,08,08DONCHERY,8142,2016,0.0,0
nan,FLOING,0,1.0,0,0,08,08FLOING,8174,2016,0.0,0
nan,FROMELENNES,1,0.0,0,0,08,08FROMELENNES,8183,2016,0.0,0
nan,FUMAY,3,1.0,0,0,08,08FUMAY,8185,2016,0.0,0
nan,GESPUNSART,1,0.0,0,0,08,08GESPUNSART,8188,2016,0.0,0
nan,GIVET,5,1.0,0,0,08,08GIVET,8190,2016,0.0,0
nan,HAUTES RIVIERES,1,0.0,0,0,08,08HAUTES RIVIERES,8218,2016,0.0,0
nan,HAYBES,1,0.0,0,0,08,08HAYBES,8222,2016,0.0,0
nan,MOUZON,1,0.0,0,0,08,08MOUZON,8311,2016,0.0,0
nan,NOUVION SUR MEUSE,0,1.0,0,0,08,08NOUVION SUR MEUSE,8327,2016,0.0,0
nan,ROCROI,1,0.0,0,0,08,08ROCROI,8367,2016,0.0,0
nan,SEDAN,8,2.0,0,0,08,08SEDAN,8409,2016,0.0,0
nan,VILLERS SEMEUSE,2,0.0,0,0,08,08VILLERS SEMEUSE,8480,2016,0.0,0
nan,VIREUX WALLERAND,1,0.0,0,0,08,08VIREUX WALLERAND,8487,2016,0.0,0
nan,VIVIER AU COURT,2,0.0,0,0,08,08VIVIER AU COURT,8488,2016,0.0,0
nan,VRIGNE AUX BOIS,2,0.0,0,0,08,08VRIGNE AUX BOIS,8491,2016,0.0,0
Ariège (09),AX LES THERMES,2,1.0,1,0,09,09AX LES THERMES,9032,2016,0.0,0
Foix,FOIX,3,3.0,0,0,09,09FOIX,9122,2016,0.0,0
nan,LAVELANET,2,1.0,0,0,09,09LAVELANET,9160,2016,0.0,0
nan,MAZERES,1,0.0,0,0,09,09MAZERES,9185,2016,0.0,0
nan,MERCUS GARRABET,1,0.0,1,0,09,09MERCUS GARRABET,9188,2016,0.0,0
nan,MONTGAILHARD,0,0.0,1,0,09,09MONTGAILHARD,9207,2016,0.0,0
nan,PAMIERS,6,3.0,0,0,09,09PAMIERS,9225,2016,0.0,0
nan,SAURAT,0,1.0,0,0,09,09SAURAT,9280,2016,0.0,0
nan,SAINT GIRONS,2,4.0,0,0,09,09SAINT GIRONS,9261,2016,0.0,0
nan,SAINT LIZIER,0,0.0,1,0,09,09SAINT LIZIER,9268,2016,0.0,0
nan,SAVERDUN,2,1.0,0,0,09,09SAVERDUN,9282,2016,0.0,0
nan,TARASCON SUR ARIEGE,2,0.0,0,0,09,09TARASCON SUR ARIEGE,9306,2016,0.0,0
nan,TOUR DU CRIEU,0,0.0,1,0,09,09TOUR DU CRIEU,9312,2016,0.0,0
nan,USTOU,0,0.0,1,0,09,09USTOU,9322,2016,0.0,0
nan,BRIENNE LE CHATEAU,3,0.0,0,0,10,10BRIENNE LE CHATEAU,10064,2016,0.0,0
nan,CHAPELLE SAINT LUC,8,0.0,0,0,10,10CHAPELLE SAINT LUC,10081,2016,0.0,0
nan,ESTISSAC,0,1.0,0,0,10,10ESTISSAC,10142,2016,0.0,0
nan,NOES PRES TROYES,3,0.0,0,0,10,10NOES PRES TROYES,10265,2016,0.0,0
nan,NOGENT SUR SEINE,5,1.0,0,0,10,10NOGENT SUR SEINE,10268,2016,0.0,0
nan,RIVIERE DE CORPS,1,2.0,0,0,10,10RIVIERE DE CORPS,10321,2016,0.0,0
nan,ROMILLY SUR SEINE,8,0.0,0,0,10,10ROMILLY SUR SEINE,10323,2016,0.0,0
nan,SAINT ANDRE LES VERGERS,4,0.0,0,0,10,10SAINT ANDRE LES VERGERS,10333,2016,0.0,0
nan,SAINTE SAVINE,4,1.0,0,0,10,10SAINTE SAVINE,10362,2016,0.0,0
nan,TROYES,32,9.0,0,0,10,10TROYES,10387,2016,0.0,0
Aude (11),ARGELIERS,1,1.0,0,0,11,11ARGELIERS,11012,2016,0.0,0
Carcassonne,ARMISSAN,1,1.0,0,0,11,11ARMISSAN,11014,2016,0.0,0
nan,BOUTENAC,1,0.0,0,0,11,11BOUTENAC,11048,2016,0.0,0
nan,BRAM,3,0.0,0,0,11,11BRAM,11049,2016,0.0,0
nan,CONQUES SUR ORBIEL,2,0.0,0,0,11,11CONQUES SUR ORBIEL,11099,2016,0.0,0
nan,COURSAN,4,0.0,0,0,11,11COURSAN,11106,2016,0.0,0
nan,CUXAC D AUDE,3,2.0,0,0,11,11CUXAC D AUDE,11116,2016,0.0,0
nan,ESPERAZA,2,2.0,0,0,11,11ESPERAZA,11129,2016,0.0,0
nan,GRUISSAN,14,1.0,0,0,11,11GRUISSAN,11170,2016,0.0,0
nan,HOMPS,1,0.0,0,0,11,11HOMPS,11172,2016,0.0,0
nan,LEUCATE,17,2.0,0,0,11,11LEUCATE,11202,2016,0.0,0
nan,LIMOUX,5,0.0,0,0,11,11LIMOUX,11206,2016,0.0,0
nan,MONTREDON DES CORBIERES,1,0.0,0,0,11,11MONTREDON DES CORBIERES,11255,2016,0.0,0
nan,MOUSSAN,1,0.0,0,0,11,11MOUSSAN,11258,2016,0.0,0
nan,NARBONNE,40,7.0,0,1,11,11NARBONNE,11262,2016,0.0,0
nan,NEVIAN,1,0.0,0,0,11,11NEVIAN,11264,2016,0.0,0
nan,OUVEILLAN,1,0.0,0,0,11,11OUVEILLAN,11269,2016,0.0,0
nan,PENNAUTIER,2,0.0,0,0,11,11PENNAUTIER,11279,2016,0.0,0
nan,PEYRIAC DE MER,1,0.0,0,0,11,11PEYRIAC DE MER,11285,2016,0.0,0
nan,PORT LA NOUVELLE,8,0.0,0,0,11,11PORT LA NOUVELLE,11266,2016,0.0,0
nan,PORTEL DES CORBIERES,1,1.0,0,0,11,11PORTEL DES CORBIERES,11295,2016,0.0,0
nan,QUILLAN,3,0.0,0,0,11,11QUILLAN,11304,2016,0.0,0
nan,SAINT MARCEL SUR AUDE,1,0.0,0,0,11,11SAINT MARCEL SUR AUDE,11353,2016,0.0,0
nan,SAINT NAZAIRE D AUDE,1,1.0,0,0,11,11SAINT NAZAIRE D AUDE,11360,2016,0.0,0
nan,SALLES D AUDE,1,1.0,0,0,11,11SALLES D AUDE,11370,2016,0.0,0
nan,SIGEAN,4,2.0,0,0,11,11SIGEAN,11379,2016,0.0,0
nan,TREBES,6,3.0,0,0,11,11TREBES,11397,2016,0.0,0
nan,VILLEGAILHENC,1,0.0,0,0,11,11VILLEGAILHENC,11425,2016,0.0,0
nan,VILLEMOUSTAUSSOU,3,0.0,0,0,11,11VILLEMOUSTAUSSOU,11429,2016,0.0,0
nan,VILLESEQUE DES CORBIERES,1,0.0,0,0,11,11VILLESEQUE DES CORBIERES,11436,2016,0.0,0
nan,VINASSAN,2,0.0,0,0,11,11VINASSAN,11441,2016,0.0,0
Aveyron (12),BELMONT SUR RANCE,0,0.0,1,0,12,12BELMONT SUR RANCE,12025,2016,0.0,0
Rodez,CALMONT,0,0.0,1,0,12,12CALMONT,12043,2016,0.0,0
nan,DECAZEVILLE,1,1.0,0,0,12,12DECAZEVILLE,12089,2016,0.0,0
nan,ESPALION,1,1.0,0,0,12,12ESPALION,12096,2016,0.0,0
