CODGEO,Année,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de chiens de patrouille de police municipale,somme_ligne
9032,2018,1231.0,2,1.0,1,0,4.0
9122,2017,9721.0,3,3.0,0,0,6.0
9122,2018,9706.0,4,2.0,0,0,6.0
9160,2017,6245.0,2,1.0,0,0,3.0
9160,2018,6205.0,2,2.0,0,0,4.0
9185,2017,3810.0,1,0.0,0,0,1.0
9185,2018,3826.0,1,0.0,0,0,1.0
9188,2017,1144.0,1,0.0,1,0,2.0
9188,2018,1162.0,1,0.0,0,0,1.0
9207,2017,1423.0,0,0.0,1,0,1.0
9207,2018,1442.0,1,0.0,1,0,2.0
9225,2017,15518.0,6,3.0,0,0,9.0
9225,2018,15317.0,6,3.0,0,0,9.0
9261,2017,6284.0,2,4.0,0,0,6.0
9261,2018,6324.0,2,2.0,0,0,4.0
9268,2017,1417.0,0,0.0,1,0,1.0
9268,2018,1417.0,0,0.0,1,0,1.0
9280,2017,654.0,0,1.0,0,0,1.0
9280,2018,645.0,0,1.0,0,0,1.0
9282,2017,4658.0,2,1.0,0,0,3.0
9282,2018,4734.0,2,0.0,0,0,2.0
9306,2017,3322.0,2,0.0,0,0,2.0
9306,2018,3231.0,2,0.0,0,0,2.0
9312,2017,3071.0,0,0.0,1,0,1.0
9312,2018,3127.0,0,1.0,0,0,1.0
9322,2017,311.0,0,0.0,1,0,1.0
9322,2018,314.0,0,0.0,1,0,1.0
10064,2017,2907.0,2,0.0,0,0,2.0
10064,2018,2907.0,2,0.0,0,0,2.0
10081,2017,12471.0,9,0.0,0,0,9.0
10081,2018,12471.0,9,0.0,0,1,10.0
10142,2017,1885.0,0,1.0,0,0,1.0
10142,2018,1885.0,0,1.0,0,0,1.0
10265,2017,3244.0,3,0.0,0,0,3.0
10265,2018,3244.0,4,0.0,0,0,4.0
10268,2017,5965.0,5,1.0,0,0,6.0
10268,2018,5965.0,5,1.0,0,0,6.0
10321,2017,3199.0,1,2.0,0,0,3.0
10321,2018,3199.0,2,2.0,0,0,4.0
10323,2017,14493.0,8,0.0,0,0,8.0
10323,2018,14493.0,8,0.0,0,0,8.0
10333,2017,12204.0,4,0.0,0,0,4.0
10333,2018,12204.0,4,0.0,0,0,4.0
10362,2017,10302.0,5,0.0,0,0,5.0
10362,2018,10302.0,4,0.0,0,0,4.0
10387,2017,60928.0,32,8.0,1,0,41.0
10387,2018,60928.0,40,8.0,1,0,49.0
11012,2017,2098.0,1,0.0,0,0,1.0
11012,2018,0.0,2,0.0,0,0,2.0
11014,2017,1575.0,1,2.0,0,0,3.0
11014,2018,0.0,2,2.0,0,0,4.0
11048,2017,728.0,1,0.0,0,0,1.0
11048,2018,0.0,0,0.0,0,0,0.0
11049,2017,3416.0,3,0.0,0,0,3.0
11049,2018,0.0,3,0.0,0,0,3.0
11099,2017,2481.0,2,0.0,0,0,2.0
11099,2018,0.0,2,0.0,0,0,2.0
11106,2017,6026.0,4,0.0,0,0,4.0
11106,2018,0.0,4,0.0,0,0,4.0
11116,2017,4033.0,3,2.0,0,0,5.0
11116,2018,0.0,3,2.0,0,0,5.0
11129,2017,1988.0,2,2.0,0,0,4.0
11129,2018,0.0,2,2.0,0,0,4.0
11170,2017,4938.0,14,1.0,0,0,15.0
11170,2018,0.0,14,1.0,0,0,15.0
11172,2017,600.0,1,0.0,0,0,1.0
11172,2018,0.0,1,0.0,0,0,1.0
11202,2017,4467.0,17,2.0,0,0,19.0
11202,2018,0.0,14,2.0,0,0,16.0
11206,2017,10918.0,5,0.0,0,0,5.0
11206,2018,0.0,5,0.0,0,0,5.0
11255,2017,1470.0,1,0.0,0,0,1.0
11255,2018,0.0,1,1.0,0,0,2.0
11258,2017,1885.0,1,0.0,0,0,1.0
11258,2018,0.0,1,0.0,0,0,1.0
11262,2017,54186.0,45,6.0,0,1,52.0
11262,2018,0.0,47,8.0,0,1,56.0
11264,2017,1302.0,1,0.0,0,0,1.0
11264,2018,0.0,1,0.0,0,0,1.0
11266,2017,5708.0,8,3.0,0,0,11.0
11266,2018,0.0,8,3.0,0,0,11.0
11269,2017,2331.0,1,0.0,0,0,1.0
11269,2018,0.0,1,0.0,0,0,1.0
11279,2017,2527.0,2,0.0,0,0,2.0
11279,2018,0.0,2,0.0,0,0,2.0
11285,2017,1124.0,1,0.0,0,0,1.0
11285,2018,0.0,1,0.0,0,0,1.0
11295,2017,1308.0,1,1.0,0,0,2.0
11295,2018,0.0,1,1.0,0,0,2.0
