Dep,Nom Ville,Nombre d habitants,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de maîtres chiens de police municipale,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO,Année
nan,SAINT VALLIER DE THIEY,3634,1,2,0,0,0,06,06SAINT VALLIER DE THIEY,6130,2017
nan,SAORGE,464,0,0,0,0,0,06,06SAORGE,6132,2017
nan,SOSPEL,3849,1,0,0,0,0,06,06SOSPEL,6136,2017
nan,SPERACEDES,1333,0,0,2,0,0,06,06SPERACEDES,6137,2017
nan,TENDE,2223,0,0,1,0,0,06,06TENDE,6163,2017
nan,THEOULE SUR MER,1554,4,1,0,0,0,06,06THEOULE SUR MER,6138,2017
nan,TOURRETTE LEVENS,4924,2,0,0,0,0,06,06TOURRETTE LEVENS,6147,2017
nan,VALBONNE,13734,17,5,1,0,0,06,06VALBONNE,6152,2017
nan,VALDEBLORE,1103,0,1,0,0,0,06,06VALDEBLORE,6153,2017
nan,VENCE,18706,21,1,0,0,0,06,06VENCE,6157,2017
nan,VILLEFRANCHE SUR MER,5159,12,4,0,0,0,06,06VILLEFRANCHE SUR MER,6159,2017
nan,VILLENEUVE LOUBET,14423,31,5,0,0,0,06,06VILLENEUVE LOUBET,6161,2017
Ardèche (07),ALBA LA ROMAINE,1455,0,1,0,0,0,07,07ALBA LA ROMAINE,7005,2017
Privas,AUBENAS,13002,6,1,0,0,0,07,07AUBENAS,7019,2017
nan,ANNONAY,17517,7,0,1,0,0,07,07ANNONAY,7010,2017
nan,BALAZUC,368,0,2,0,0,0,07,07BALAZUC,7023,2017
nan,BEAUCHASTEL,1900,1,0,0,0,0,07,07BEAUCHASTEL,7027,2017
nan,BOULIEU LES ANNONAY,2308,1,0,0,0,0,07,07BOULIEU LES ANNONAY,7041,2017
nan,BOURG SAINT ANDEOL,7367,4,0,0,0,0,07,07BOURG SAINT ANDEOL,7042,2017
nan,CHARMES SUR RHONE,2800,1,0,0,0,0,07,07CHARMES SUR RHONE,7055,2017
nan,CHEYLARD,3252,1,0,0,0,0,07,07CHEYLARD,7064,2017
nan,CHOMERAC,3230,0,0,1,0,0,07,07CHOMERAC,7066,2017
nan,CRUAS,3000,1,0,0,0,0,07,07CRUAS,7076,2017
nan,DAVEZIEUX,3200,1,0,0,0,0,07,07DAVEZIEUX,7078,2017
nan,GUILHERAND GRANGES,11000,6,0,0,0,0,07,07GUILHERAND GRANGES,7102,2017
nan,JOYEUSE,1700,1,1,0,0,0,07,07JOYEUSE,7110,2017
nan,LABEAUME,653,0,1,1,0,0,07,07LABEAUME,7115,2017
nan,LABEGUDE,1412,0,1,0,0,0,07,07LABEGUDE,7116,2017
nan,LAMASTRE,2460,0,0,1,0,0,07,07LAMASTRE,7129,2017
nan,LAVILLEDIEU,2114,0,2,0,0,0,07,07LAVILLEDIEU,7138,2017
nan,POUZIN,2850,1,0,0,0,0,07,07POUZIN,7181,2017
nan,PRIVAS,8709,3,3,0,0,0,07,07PRIVAS,7186,2017
nan,RUOMS,2300,1,4,0,0,0,07,07RUOMS,7201,2017
nan,SAINT ALBAN AURIOLLES,1068,0,1,0,0,0,07,07SAINT ALBAN AURIOLLES,7207,2017
nan,SAINT ETIENNE DE FONTBELLON,2759,0,1,0,0,0,07,07SAINT ETIENNE DE FONTBELLON,7231,2017
nan,SAINT JEAN DE MUZOLS,2506,0,1,0,0,0,07,07SAINT JEAN DE MUZOLS,7245,2017
nan,SAINT MARCEL D ARDECHE,2450,0,1,0,0,0,07,07SAINT MARCEL D ARDECHE,7264,2017
nan,SAINT PAUL LE JEUNE,1017,0,1,0,0,0,07,07SAINT PAUL LE JEUNE,7280,2017
nan,SAINT PERAY,7736,3,0,0,0,0,07,07SAINT PERAY,7281,2017
nan,SAMPZON,231,0,1,0,0,0,07,07SAMPZON,7306,2017
nan,SARRAS,2126,0,1,0,0,0,07,07SARRAS,7308,2017
nan,SCEAUTRES,150,0,0,1,0,0,07,07SCEAUTRES,7311,2017
nan,TEIL,8600,1,2,0,0,0,07,07TEIL,7319,2017
nan,THUEYTS,1242,0,1,0,0,0,07,07THUEYTS,7322,2017
nan,TOURNON SUR RHONE,11000,5,0,0,0,0,07,07TOURNON SUR RHONE,7324,2017
nan,VALLON PONT D ARC,2700,1,1,0,0,0,07,07VALLON PONT D ARC,7330,2017
