CODGEO,Année,somme_ligne_effectifs,Nombre d habitants,CODGEO_2024,annee,somme_ligne_delits
67167,2018,1.0,1233.0,67167,2018,0
1145,2017,1.0,1234.0,1145,2017,0
72022,2018,1.0,1239.0,72022,2018,0
67329,2017,1.0,1239.0,67329,2017,0
12119,2017,1.0,1239.0,12119,2017,0
80136,2017,1.0,1240.0,80136,2017,8
80136,2018,1.0,1240.0,80136,2018,6
44136,2017,1.0,1241.0,44136,2017,50
9032,2017,4.0,1244.0,9032,2017,81
38528,2018,1.0,1247.0,38528,2018,0
91106,2018,1.0,1247.0,91106,2018,12
91106,2017,1.0,1250.0,91106,2017,18
44136,2018,4.0,1252.0,44136,2018,56
79012,2017,1.0,1255.0,79012,2017,0
72022,2017,1.0,1255.0,72022,2017,0
79012,2018,1.0,1255.0,79012,2018,0
40326,2017,4.0,1260.0,40326,2017,15
39235,2018,1.0,1261.0,39235,2018,47
39235,2017,1.0,1261.0,39235,2017,57
12119,2018,1.0,1267.0,12119,2018,0
40326,2018,4.0,1267.0,40326,2018,24
76374,2018,1.0,1270.0,76374,2018,9
76374,2017,1.0,1270.0,76374,2017,9
71294,2017,1.0,1271.0,71294,2017,19
21577,2018,1.0,1271.0,21577,2018,16
41241,2017,1.0,1293.0,41241,2017,0
17019,2018,2.0,1298.0,17019,2018,27
11264,2017,1.0,1302.0,11264,2017,0
85278,2018,1.0,1303.0,85278,2018,20
72336,2017,1.0,1303.0,72336,2017,19
11295,2017,2.0,1308.0,11295,2017,14
85278,2017,1.0,1309.0,85278,2017,18
81081,2018,1.0,1313.0,81081,2018,0
34224,2018,1.0,1313.0,34224,2018,19
34224,2017,1.0,1313.0,34224,2017,16
59194,2017,1.0,1314.0,59194,2017,10
83083,2017,1.0,1314.0,83083,2017,21
41256,2018,1.0,1314.0,41256,2018,10
59194,2018,1.0,1320.0,59194,2018,11
62330,2018,1.0,1323.0,62330,2018,0
24164,2017,1.0,1323.0,24164,2017,10
64249,2017,1.0,1326.0,64249,2017,51
62264,2018,1.0,1335.0,62264,2018,13
17019,2017,1.0,1335.0,17019,2017,70
17311,2018,1.0,1340.0,17311,2018,26
